round,param_ma_months,param_momentum_months,param_high_weight,param_mid_weight,param_low_weight,param_vol_window_short,param_vol_window_long,param_vol_lookback,param_vol_quantile,param_vol_cut,param_trading_days,start_date,end_date,bars,total_return,annualized_return,max_drawdown,sharpe,average_exposure,trade_count,composite_score,agent_input_tokens,agent_output_tokens,agent_cache_read_tokens,agent_cache_write_tokens,agent_total_tokens,agent_cost
0001,10,12,1.0,0.7,0.3,20,60,252,0.8,0.2,252,2004-02-11,2026-06-30,5505,10.512966970935578,0.11837212843946676,-0.29558553326797843,0.8424637565650926,0.73622161671208,95,-0.1879670291720024,1244,2606,23292,0,27142,0.0
0002,10,12,1.0,0.8,0.5,20,60,252,0.8,0.2,252,2004-02-11,2026-06-30,5505,11.685014074944474,0.12334730571732844,-0.3673911809286885,0.8373911098425754,0.7829791099000909,94,-0.2543047642271025,1947,2379,26428,0,30754,0.0
0003,10,12,1.0,0.8,0.5,20,60,252,0.8,0.25,252,2004-02-11,2026-06-30,5505,11.412721296581688,0.12223180701831038,-0.3535018275316526,0.8454192172780275,0.7680653950953679,95,-0.24172809878553947,3056,3667,33025,0,39748,0.0
0004,10,12,1.0,0.85,0.55,20,60,252,0.8,0.25,252,2004-02-11,2026-06-30,5505,11.855820030014062,0.12403544056391835,-0.37406617899956307,0.8418107889086974,0.7833151680290644,95,-0.260849659544775,9423,4384,28290,0,42097,0.0
0005,10,12,1.0,0.9,0.6,20,60,252,0.8,0.25,252,2004-02-11,2026-06-30,5505,12.301073832763377,0.12578905490492742,-0.3941836685881407,0.8370589310472712,0.7985649409627612,95,-0.27968872057848615,3014,3845,34534,0,41393,0.0
0006,10,12,1.0,0.9,0.6,20,60,252,0.8,0.3,252,2004-02-11,2026-06-30,5505,12.017052973825603,0.12467705006230911,-0.38076044165327627,0.8447318351211354,0.7836512261580382,95,-0.2666102080788536,,,,,,
